,Pais,IndiceRenta,IndicePrecioRestaurante
0,Switzerland,101.1,97.0
1,Bahamas,85.0,83.3
2,Iceland,83.0,86.8
3,Singapore,76.7,50.4
4,Barbados,76.6,69.4
5,Norway,76.0,73.5
6,Denmark,72.3,81.3
7,Hong Kong (China),70.8,46.2
8,United States,70.4,67.2
9,Australia,70.2,62.5
10,Austria,65.1,59.3
11,Canada,64.8,61.7
12,New Zealand,64.6,57.1
13,Ireland,64.4,65.3
14,France,63.7,56.3
15,Puerto Rico,63.3,53.1
16,Finland,63.2,63.6
17,Netherlands,63.1,61.2
18,Israel,62.7,68.0
19,Luxembourg,62.4,68.7
20,Germany,62.2,52.8
21,United Kingdom,62.0,62.7
22,Belgium,61.1,66.0
23,South Korea,60.1,31.4
24,Sweden,59.3,54.7
25,Italy,56.2,53.3
26,United Arab Emirates,55.8,49.2
27,Cyprus,54.7,53.2
28,Uruguay,54.1,50.2
29,Jamaica,53.9,38.8
30,Malta,52.8,56.2
31,Trinidad And Tobago,52.6,43.9
32,Costa Rica,52.3,43.1
33,Bahrain,52.3,44.7
34,Greece,52.0,51.3
35,Estonia,52.0,50.6
36,Qatar,51.3,47.2
37,Slovenia,49.9,43.4
38,Latvia,49.1,44.9
39,Spain,47.3,44.1
40,Lithuania,47.1,43.5
41,Slovakia,46.7,34.5
42,Cuba,46.7,26.0
43,Czech Republic,46.6,34.1
44,Panama,46.4,42.2
45,Japan,46.1,27.8
46,Croatia,45.5,42.2
47,Saudi Arabia,45.3,30.9
48,Taiwan,45.2,23.0
49,Portugal,45.1,36.9
50,Oman,42.4,33.1
51,Kuwait,42.1,36.4
52,Albania,42.1,35.7
53,Lebanon,41.8,37.1
54,Hungary,41.7,37.0
55,Palestine,41.6,27.4
56,Jordan,41.2,34.8
57,Armenia,41.0,38.9
58,Poland,40.8,35.0
59,Mexico,40.2,35.7
60,El Salvador,39.5,29.6
61,Montenegro,39.4,36.3
62,Chile,39.1,34.8
63,Guatemala,38.8,31.1
64,Venezuela,38.3,37.7
65,Bulgaria,38.3,34.7
66,Dominican Republic,37.9,33.1
67,Serbia,37.7,31.2
68,Romania,37.5,35.5
69,Turkey,37.4,30.7
70,Cambodia,37.3,22.7
71,Cameroon,37.3,35.3
72,Zimbabwe,37.2,26.7
73,Mauritius,37.1,26.5
74,Fiji,35.4,28.4
75,Bosnia And Herzegovina,35.0,22.4
76,Sri Lanka,34.6,18.5
77,South Africa,34.5,29.5
78,Thailand,34.1,18.3
79,Moldova,34.0,26.6
80,Georgia,33.4,31.6
81,North Macedonia,33.0,22.1
82,Ecuador,32.6,24.5
83,Kazakhstan,31.7,28.7
84,China,31.7,20.6
85,Nigeria,31.4,20.6
86,Azerbaijan,31.2,31.8
87,Philippines,31.0,16.8
88,Russia,31.0,28.0
89,Ghana,30.9,26.9
90,Brazil,30.2,22.6
91,Kenya,30.2,22.1
92,Botswana,30.1,22.5
93,Malaysia,30.0,18.9
94,Peru,30.0,21.3
95,Morocco,29.5,20.7
96,Kosovo (Disputed Territory),29.5,20.6
97,Argentina,29.4,24.8
98,Iraq,29.3,20.9
99,Uganda,29.1,21.6
100,Algeria,28.9,14.0
101,Colombia,28.8,20.5
102,Vietnam,28.7,14.8
103,Tunisia,28.1,15.0
104,Bolivia,27.6,19.4
105,Kyrgyzstan,27.6,20.2
106,Indonesia,26.7,13.5
107,Iran,26.4,16.3
108,Uzbekistan,26.4,18.6
109,Belarus,26.4,24.9
110,Ukraine,25.9,20.7
111,Nepal,25.5,16.2
112,Paraguay,25.4,17.6
113,Madagascar,24.5,14.3
114,Syria,24.0,15.3
115,Tanzania,23.8,16.5
116,Bangladesh,22.5,12.8
117,India,21.2,15.1
118,Egypt,21.0,16.2
119,Libya,20.4,15.2
120,Pakistan,18.8,12.9
